Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,age
0,3,1,0,0,8.05,2,24.0
0,3,1,0,0,8.05,2,29.0
0,3,1,0,0,7.8542,2,20.0
0,1,1,1,0,61.175,2,46.0
0,3,1,1,2,20.575,2,26.0
0,3,1,0,0,7.25,2,54.5
0,3,1,0,0,8.05,2,29.69911764705882
0,1,1,0,0,34.6542,0,54.5
1,1,1,0,1,63.3583,0,23.0
1,2,0,0,1,23.0,2,34.0
0,2,1,1,0,26.0,2,34.0
0,3,0,0,0,7.8958,2,28.0
0,3,1,0,0,7.8958,2,29.69911764705882
0,1,1,0,1,65.6344,2,21.0
0,3,1,0,0,8.6542,2,33.0
0,3,1,2,0,7.925,2,37.0
0,3,1,0,0,7.8958,2,28.0
1,3,0,0,0,7.65,2,21.0
1,3,1,0,0,7.775,2,29.69911764705882
0,3,1,0,0,7.8958,2,38.0
1,3,0,1,0,24.15,1,29.69911764705882
0,1,1,0,0,52.0,2,47.0
0,3,0,1,0,14.4542,0,14.5
0,3,1,0,0,8.05,2,22.0
0,3,0,1,0,9.825,2,20.0
0,3,0,0,0,14.4583,0,17.0
0,3,1,0,0,7.925,2,21.0
0,3,1,0,0,7.75,1,54.5
0,2,1,1,0,21.0,2,29.0
0,1,1,0,1,65.6344,0,24.0
0,3,0,4,2,31.275,2,2.5
0,2,1,2,0,65.6344,2,21.0
0,3,1,0,0,8.05,2,29.69911764705882
0,2,1,1,0,30.0708,0,32.5
1,2,0,0,0,13.0,2,32.5
0,1,1,0,1,65.6344,2,54.0
1,3,1,1,0,11.2417,0,12.0
0,3,1,0,0,7.75,1,29.69911764705882
1,3,1,0,0,7.1417,2,24.0
1,3,0,1,1,22.3583,0,29.69911764705882
0,3,1,0,0,6.975,2,45.0
0,3,1,0,0,7.8958,0,33.0
0,3,1,0,0,7.05,2,20.0
0,3,0,1,0,14.5,2,47.0
1,2,0,1,0,26.0,2,29.0
0,2,1,0,0,13.0,2,25.0
0,2,1,0,0,15.0458,0,23.0
1,1,0,0,2,26.2833,2,19.0
0,1,1,1,0,53.1,2,37.0
0,3,1,0,0,9.2167,2,16.0
0,1,1,0,0,65.6344,0,24.0
0,3,0,0,2,15.2458,0,29.69911764705882
1,3,0,0,0,7.75,2,22.0
1,3,0,1,0,15.85,2,24.0
0,3,1,0,0,6.75,1,19.0
0,2,1,0,0,11.5,2,18.0
0,2,1,1,1,36.75,2,19.0
1,3,1,0,0,7.7958,2,27.0
0,3,0,2,2,34.375,2,9.0
0,2,1,0,2,26.0,2,36.5
0,2,1,0,0,13.0,2,42.0
0,2,1,0,0,12.525,2,51.0
1,1,0,1,0,65.6344,2,22.0
0,3,1,0,0,8.05,2,54.5
0,3,1,0,2,14.5,2,40.5
0,3,1,0,0,7.3125,2,29.69911764705882
0,1,1,0,1,61.3792,0,51.0
1,3,0,0,0,7.7333,1,16.0
0,3,1,0,0,8.05,2,30.0
0,3,1,0,0,8.6625,2,29.69911764705882
0,3,1,8,2,65.6344,2,29.69911764705882
0,3,1,0,1,16.1,2,44.0
1,2,0,0,0,15.75,2,40.0
0,3,1,0,0,7.775,2,26.0
0,3,1,0,0,8.6625,2,17.0
0,3,1,4,1,39.6875,2,2.5
1,3,1,0,2,20.525,2,9.0
1,1,0,0,1,55.0,2,29.69911764705882
0,3,0,1,4,27.9,2,45.0
0,1,1,0,0,25.925,2,29.69911764705882
0,3,1,0,0,56.4958,2,28.0
0,1,1,0,0,33.5,2,54.5
0,3,1,4,1,29.125,1,4.0
1,3,0,1,1,11.1333,2,2.5
0,3,1,0,0,7.925,2,21.0
0,1,1,0,0,30.6958,0,54.5
0,3,1,1,1,7.8542,2,18.0
0,3,1,3,1,25.4667,2,29.69911764705882
0,1,0,0,0,28.7125,0,50.0
0,2,1,0,0,13.0,2,30.0
0,3,1,0,0,0.0,2,36.0
0,3,0,8,2,65.6344,2,29.69911764705882
0,2,1,0,0,15.05,0,29.69911764705882
0,3,1,4,2,31.3875,2,9.0
1,2,1,2,1,39.0,2,2.5
1,3,0,0,2,22.025,2,4.0
0,1,1,0,0,50.0,2,29.69911764705882
1,3,0,1,0,15.5,1,29.69911764705882
1,1,1,0,0,26.55,2,45.0
0,3,1,1,1,15.5,1,40.0
0,3,1,0,0,7.8958,2,36.0
1,2,0,0,0,13.0,2,32.0
0,2,1,0,0,13.0,2,19.0
1,3,0,1,0,7.8542,2,19.0
1,2,1,1,1,26.0,2,3.0
1,1,0,0,0,27.7208,0,44.0
1,1,0,0,0,65.6344,0,54.5
0,3,1,0,0,7.75,1,29.69911764705882
0,3,1,0,1,8.4042,2,42.0
1,3,0,0,0,7.75,1,29.69911764705882
0,2,0,0,0,13.0,2,24.0
0,3,1,0,0,9.5,2,28.0
0,3,1,8,2,65.6344,2,29.69911764705882
0,3,1,0,0,6.4958,2,34.0
0,3,1,0,0,7.225,0,45.5
1,3,1,0,0,8.05,2,18.0
0,3,0,0,1,10.4625,2,2.5
0,3,1,1,0,15.85,2,32.0
1,3,1,0,0,18.7875,0,26.0
1,3,0,0,0,7.75,1,16.0
1,1,1,0,0,31.0,0,40.0
0,3,1,0,0,7.05,2,24.0
1,2,0,0,0,21.0,2,35.0
0,3,1,0,0,7.25,2,22.0
0,2,1,0,0,13.0,2,30.0
0,3,1,1,0,7.75,1,29.69911764705882
1,1,0,1,0,65.6344,0,31.0
1,3,0,0,0,7.925,2,27.0
0,2,1,1,0,27.0,2,42.0
1,1,0,0,0,65.6344,0,32.0
0,2,1,0,0,10.5,2,30.0
1,3,1,0,0,8.05,2,16.0
0,2,1,0,0,13.0,2,27.0
0,3,1,0,0,8.05,2,51.0
0,3,1,0,0,7.8958,2,29.69911764705882
1,1,1,1,0,65.6344,2,38.0
0,3,1,0,0,9.35,2,22.0
1,2,1,0,0,10.5,2,19.0
0,3,1,0,0,7.25,2,20.5
0,2,1,0,0,13.0,2,18.0
0,3,0,3,1,25.4667,2,29.69911764705882
1,1,0,1,0,65.6344,2,35.0
0,3,1,0,0,7.775,2,29.0
0,2,1,0,0,13.5,2,54.5
1,3,0,4,2,31.3875,2,5.0
0,2,1,0,0,10.5,2,24.0
0,3,0,0,0,7.55,2,29.69911764705882
0,2,1,1,0,26.0,2,44.0
1,2,0,0,2,26.25,2,8.0
0,2,1,0,0,10.5,2,19.0
0,2,1,0,0,12.275,2,33.0
0,3,0,1,0,14.4542,0,29.69911764705882
1,3,0,1,0,15.5,1,29.69911764705882
0,2,1,0,0,10.5,2,29.0
0,3,1,0,0,7.125,2,22.0
0,3,1,0,0,7.225,0,30.0
0,1,1,2,0,65.6344,1,44.0
0,3,0,0,0,7.775,2,25.0
1,2,0,0,2,14.5,2,24.0
1,1,1,1,1,52.5542,2,37.0
0,2,1,1,0,26.0,2,54.0
0,3,1,0,0,7.25,2,29.69911764705882
0,3,0,1,1,10.4625,2,29.0
0,1,1,0,0,26.55,2,54.5
0,3,1,1,0,16.1,2,30.0
0,3,0,0,2,20.2125,2,41.0
1,3,0,0,2,15.2458,0,29.0
1,1,0,0,0,65.6344,0,29.69911764705882
1,1,0,0,0,65.6344,2,30.0
1,1,0,0,0,65.6344,0,35.0
1,2,0,0,1,26.0,2,50.0
0,3,1,0,0,7.75,1,29.69911764705882
1,3,1,4,2,31.3875,2,3.0
0,1,1,1,1,65.6344,2,52.0
0,1,1,0,0,0.0,2,40.0
0,3,0,0,0,7.75,1,29.69911764705882
0,2,1,0,0,10.5,2,36.0
0,3,1,4,1,39.6875,2,16.0
1,3,1,1,0,7.775,2,25.0
1,1,0,0,1,65.6344,2,54.5
1,1,0,0,0,65.6344,2,35.0
0,1,1,0,0,31.0,2,29.69911764705882
1,3,1,0,0,0.0,2,25.0
1,2,0,0,1,19.5,2,41.0
0,1,1,0,1,29.7,0,37.0
1,3,0,0,0,7.75,1,29.69911764705882
1,1,0,1,0,65.6344,2,54.5
0,3,0,0,0,7.75,2,45.0
0,2,1,0,0,0.0,2,29.69911764705882
0,3,1,4,1,29.125,1,7.0
1,3,0,1,1,20.25,2,35.0
0,3,1,0,0,7.75,1,54.5
0,3,1,0,0,7.8542,2,28.0
0,3,1,0,0,9.5,2,16.0
1,3,1,0,0,8.05,2,19.0
0,1,1,0,0,26.0,2,29.69911764705882
0,3,1,0,0,8.6625,0,33.0
1,3,1,0,0,9.5,2,30.0
0,3,1,0,0,7.8958,2,22.0
1,2,1,0,0,13.0,2,42.0
1,3,0,0,0,7.75,1,22.0
1,1,0,0,0,65.6344,2,26.0
1,1,0,1,0,65.6344,0,19.0
0,2,1,0,0,12.875,0,36.0
0,3,0,0,0,8.85,2,24.0
0,3,1,0,0,7.8958,2,24.0
0,1,1,0,0,27.7208,0,29.69911764705882
0,3,1,0,0,7.2292,0,23.5
0,1,0,1,2,65.6344,2,2.5
1,1,1,0,0,30.5,2,29.69911764705882
1,1,0,0,1,65.6344,0,50.0
1,3,0,0,0,7.75,1,29.69911764705882
1,3,1,2,0,23.25,1,29.69911764705882
0,3,1,0,0,0.0,2,19.0
1,2,0,0,0,12.35,1,29.69911764705882
0,3,1,0,0,8.05,2,29.69911764705882
1,1,1,1,2,65.6344,2,2.5
1,1,0,0,0,65.6344,0,29.69911764705882
1,1,0,1,0,65.6344,0,17.0
0,2,1,1,0,24.0,0,30.0
1,1,0,0,0,56.9292,0,30.0
1,1,0,0,0,65.6344,0,24.0
1,1,0,2,2,65.6344,0,18.0
0,2,0,1,1,26.0,2,26.0
0,3,1,0,0,7.8958,2,28.0
0,2,1,1,1,26.25,2,43.0
1,3,0,0,0,7.8542,2,26.0
1,2,0,1,0,26.0,2,24.0
0,2,1,0,0,14.0,2,54.0
1,1,0,0,2,65.6344,2,31.0
1,1,0,1,1,65.6344,0,40.0
0,3,1,0,0,7.25,2,22.0
0,3,1,0,0,7.8958,2,27.0
1,2,0,0,0,12.35,1,30.0
1,2,0,1,1,29.0,2,22.0
0,3,1,8,2,65.6344,2,29.69911764705882
1,1,0,0,0,65.6344,0,36.0
0,3,1,0,0,6.2375,2,54.5
1,2,0,0,0,13.0,2,36.0
1,3,0,1,1,20.525,2,31.0
1,1,0,0,1,57.9792,0,16.0
1,3,0,2,0,23.25,1,29.69911764705882
0,1,1,0,0,28.5,2,45.5
0,1,1,0,1,65.6344,2,38.0
0,3,1,2,0,18.0,2,16.0
1,1,0,1,0,65.6344,2,29.69911764705882
0,3,1,0,0,7.8958,2,29.69911764705882
0,1,1,1,0,65.6344,2,29.0
1,1,0,0,0,65.6344,0,41.0
1,3,1,0,0,8.05,2,45.0
0,1,1,0,0,35.5,2,45.0
1,2,1,1,1,26.0,2,2.5
1,1,0,3,2,65.6344,2,24.0
0,2,1,0,0,13.0,2,28.0
0,2,1,0,0,13.0,2,25.0
0,2,1,0,0,13.0,2,36.0
1,2,0,0,0,13.0,2,24.0
1,2,0,0,0,13.0,2,40.0
1,3,0,1,0,16.1,2,29.69911764705882
1,3,1,1,1,15.9,2,3.0
0,3,1,0,0,8.6625,2,42.0
0,3,1,0,0,9.225,2,23.0
0,1,1,0,0,35.0,2,29.69911764705882
0,3,1,1,1,7.2292,0,15.0
0,3,1,1,0,17.8,2,25.0
0,3,1,0,0,7.225,0,29.69911764705882
0,3,1,0,0,9.5,2,28.0
1,1,0,0,1,55.0,2,22.0
0,2,0,0,0,13.0,2,38.0
1,3,0,0,0,7.8792,1,29.69911764705882
1,3,0,0,0,7.8792,1,29.69911764705882
0,3,1,1,4,27.9,2,40.0
0,2,1,1,0,27.7208,0,29.0
0,3,0,0,1,14.4542,0,45.0
0,3,1,0,0,7.05,2,35.0
0,3,1,1,0,15.5,1,29.69911764705882
0,3,1,0,0,7.25,2,30.0
1,1,0,1,0,65.6344,0,54.5
1,3,0,0,0,7.2292,0,29.69911764705882
1,3,0,0,0,7.75,1,29.69911764705882
1,1,0,0,0,65.6344,0,24.0
1,1,1,1,0,55.4417,0,25.0
0,3,1,1,0,6.4958,2,18.0
0,3,1,0,0,8.05,2,19.0
0,1,1,0,0,65.6344,0,22.0
0,3,0,3,1,21.075,2,3.0
1,1,0,1,0,65.6344,0,29.69911764705882
1,3,0,0,0,7.25,2,22.0
0,1,1,0,2,65.6344,0,27.0
0,3,1,0,0,4.0125,0,20.0
0,3,1,0,0,7.775,2,19.0
1,1,0,0,0,65.6344,0,42.0
1,3,0,0,2,15.7417,0,2.5
0,3,1,0,0,7.925,2,32.0
1,1,0,1,0,52.0,2,35.0
0,3,1,0,0,7.8958,2,29.69911764705882
0,2,1,0,0,65.6344,2,18.0
0,3,1,5,2,46.9,2,2.5
1,2,0,0,0,13.0,2,36.0
0,3,1,0,0,7.7292,1,29.69911764705882
1,2,0,0,0,12.0,0,17.0
1,1,1,1,2,65.6344,2,36.0
1,3,1,0,0,7.7958,2,21.0
0,3,1,2,0,7.925,2,28.0
1,1,0,1,0,65.6344,0,23.0
1,3,0,0,2,16.7,2,24.0
0,3,1,0,0,7.7958,2,22.0
0,3,0,0,0,7.8542,2,31.0
0,2,1,0,0,26.0,2,46.0
0,2,1,0,0,10.5,2,23.0
1,2,0,0,0,12.65,2,28.0
1,3,1,0,0,7.925,2,39.0
0,3,1,0,0,8.05,2,26.0
0,3,0,1,0,9.825,2,21.0
0,3,1,1,0,15.85,2,28.0
0,3,0,0,0,8.6625,2,20.0
0,2,1,1,0,21.0,2,34.0
0,3,1,0,0,7.75,2,51.0
1,2,1,1,1,18.75,2,3.0
0,3,1,0,0,7.775,2,21.0
0,3,0,3,1,25.4667,2,29.69911764705882
0,3,1,0,0,7.8958,2,29.69911764705882
0,3,1,0,0,6.8583,1,29.69911764705882
1,1,0,1,0,65.6344,1,33.0
0,2,1,0,0,0.0,2,29.69911764705882
1,3,1,0,0,7.925,2,44.0
0,3,0,0,0,8.05,2,29.69911764705882
1,2,0,1,1,32.5,2,34.0
1,2,0,0,2,13.0,2,18.0
0,2,1,0,0,13.0,2,30.0
0,3,0,0,2,24.15,2,10.0
0,3,1,0,0,7.8958,0,29.69911764705882
0,3,1,0,0,7.7333,1,21.0
0,3,1,0,0,7.875,2,29.0
0,3,0,1,1,14.4,2,28.0
0,3,1,1,1,20.2125,2,18.0
0,3,1,0,0,7.25,2,29.69911764705882
1,2,0,1,0,26.0,2,28.0
1,2,0,0,0,26.0,2,19.0
0,3,1,0,0,7.75,1,29.69911764705882
1,3,1,0,0,8.05,2,32.0
1,1,1,0,0,26.55,2,28.0
1,3,0,1,0,16.1,2,29.69911764705882
1,2,0,1,0,26.0,2,42.0
0,3,1,0,0,7.125,2,17.0
0,1,1,1,0,55.9,2,50.0
1,1,0,1,2,65.6344,2,14.0
0,3,0,2,2,34.375,2,21.0
1,2,0,2,3,18.75,2,24.0
0,1,1,1,4,65.6344,2,54.5
0,2,1,0,0,10.5,2,31.0
1,2,0,1,1,26.25,2,45.0
0,3,1,0,0,9.5,2,20.0
0,3,1,1,0,7.775,2,25.0
1,2,0,0,0,13.0,2,28.0
1,3,1,0,0,8.1125,2,29.69911764705882
1,1,1,0,2,65.6344,2,4.0
1,2,0,0,1,19.5,2,13.0
1,1,1,0,0,26.55,2,34.0
1,3,0,2,1,19.2583,0,5.0
1,1,1,0,0,30.5,2,52.0
0,2,1,1,2,27.75,2,36.0
0,3,1,1,0,19.9667,2,29.69911764705882
0,1,1,0,0,27.75,0,30.0
1,1,1,1,0,65.6344,0,49.0
0,3,1,0,0,8.05,2,29.69911764705882
1,3,1,0,0,7.8958,0,29.0
0,1,1,0,0,26.55,2,54.5
1,1,0,1,0,51.8625,2,29.69911764705882
1,2,0,0,0,10.5,2,50.0
0,3,1,0,0,7.75,1,29.69911764705882
1,1,1,0,0,26.55,2,48.0
0,3,1,0,0,8.05,2,34.0
0,1,1,0,0,38.5,2,47.0
0,2,1,0,0,13.0,2,48.0
0,3,1,0,0,8.05,2,29.69911764705882
0,3,1,0,0,7.05,2,38.0
0,2,1,0,0,0.0,2,29.69911764705882
0,1,1,0,0,26.55,2,54.5
0,3,1,0,0,7.725,1,29.69911764705882
1,3,0,2,1,19.2583,0,2.5
0,3,1,0,0,7.25,2,29.69911764705882
0,3,1,0,0,8.6625,2,38.0
1,2,0,1,2,27.75,2,33.0
1,2,0,0,0,13.7917,0,23.0
0,3,0,0,0,9.8375,2,22.0
0,1,1,0,0,52.0,2,29.69911764705882
0,2,1,1,0,21.0,2,34.0
0,3,1,1,0,7.0458,2,29.0
0,3,1,0,0,7.5208,2,22.0
1,3,0,0,1,12.2875,2,2.5
0,3,1,5,2,46.9,2,9.0
0,2,1,0,0,0.0,2,29.69911764705882
0,3,1,0,0,8.05,2,50.0
1,3,0,0,0,9.5875,2,54.5
1,1,1,1,0,65.6344,0,25.0
0,3,0,3,1,25.4667,2,29.69911764705882
1,1,0,1,0,65.6344,2,35.0
0,1,1,0,0,29.7,0,54.5
0,3,1,0,0,8.05,2,30.0
1,3,1,1,1,15.9,2,9.0
0,3,1,1,0,19.9667,2,29.69911764705882
0,3,1,0,0,7.25,2,21.0
0,1,1,0,0,30.5,2,54.5
0,1,1,0,0,49.5042,0,54.5
0,3,1,0,0,8.05,2,21.0
0,3,1,0,0,14.4583,0,29.69911764705882
1,1,0,1,0,65.6344,0,54.0
0,3,1,0,0,15.1,2,29.69911764705882
0,1,0,1,2,65.6344,2,25.0
0,3,1,0,0,7.7958,2,24.0
0,3,1,0,0,8.6625,2,17.0
0,3,0,0,0,7.75,1,21.0
0,3,0,0,0,7.6292,1,29.69911764705882
0,3,0,0,0,9.5875,2,37.0
1,1,0,0,0,65.6344,2,16.0
0,1,1,1,0,65.6344,0,18.0
1,2,0,0,2,26.0,2,33.0
1,1,1,0,0,26.55,2,29.69911764705882
0,3,1,0,0,22.525,2,28.0
1,3,1,0,0,56.4958,2,26.0
1,3,1,0,0,7.75,1,29.0
0,3,1,0,0,8.05,2,29.69911764705882
1,1,1,0,0,26.2875,2,36.0
1,1,0,1,0,59.4,0,54.0
0,3,1,0,0,7.4958,2,24.0
0,1,1,0,0,34.0208,2,47.0
1,2,0,0,0,10.5,2,34.0
0,3,1,0,0,24.15,1,29.69911764705882
1,2,0,1,0,26.0,2,36.0
0,3,1,0,0,7.8958,2,32.0
1,1,0,0,0,65.6344,2,30.0
0,3,1,0,0,7.8958,2,22.0
0,3,1,0,0,7.225,0,29.69911764705882
1,1,0,0,1,57.9792,0,44.0
0,3,1,0,0,7.2292,0,29.69911764705882
0,3,1,0,0,7.75,1,40.5
1,2,0,0,0,10.5,2,50.0
0,1,1,0,0,65.6344,2,29.69911764705882
0,3,1,0,0,7.925,2,39.0
0,2,1,2,1,11.5,2,23.0
1,2,0,1,1,26.0,2,2.5
0,3,1,0,0,7.2292,0,29.69911764705882
0,3,1,1,1,7.2292,0,17.0
1,3,0,0,2,22.3583,0,29.69911764705882
0,3,0,0,0,8.6625,2,30.0
1,2,0,0,2,26.25,2,7.0
0,1,1,0,0,26.55,2,45.0
1,1,0,0,0,65.6344,0,30.0
0,3,1,0,0,14.5,2,29.69911764705882
1,1,0,0,2,49.5,0,22.0
1,1,0,0,2,65.6344,2,36.0
0,3,0,4,2,31.275,2,9.0
0,3,0,4,2,31.275,2,11.0
1,2,1,1,0,26.0,2,32.0
0,1,1,1,0,65.6344,0,50.0
0,1,1,0,0,26.0,2,54.5
1,2,0,1,0,26.0,2,19.0
1,2,1,0,0,13.8625,0,29.69911764705882
0,3,1,1,1,20.525,2,33.0
1,2,1,1,1,36.75,2,8.0
1,1,1,0,2,65.6344,0,17.0
0,2,1,0,0,26.0,2,27.0
0,3,1,0,0,7.8292,1,29.69911764705882
1,3,1,0,0,7.225,0,22.0
1,3,0,0,0,7.775,2,22.0
0,1,1,0,0,26.55,2,54.5
1,1,0,1,0,39.6,0,48.0
0,1,1,0,0,65.6344,0,29.69911764705882
1,1,0,1,1,65.6344,2,39.0
1,3,0,1,0,17.4,2,36.0
0,3,1,0,0,7.75,1,29.69911764705882
0,3,1,0,0,7.8958,2,40.0
0,2,1,0,0,13.5,2,28.0
0,3,1,0,0,8.05,2,29.69911764705882
0,3,0,0,0,8.05,2,29.69911764705882
0,3,1,2,0,24.15,2,24.0
0,3,1,0,0,7.8958,2,19.0
0,3,0,0,4,21.075,2,29.0
0,3,1,0,0,7.2292,0,29.69911764705882
1,3,1,0,0,7.8542,2,32.0
1,2,1,0,0,10.5,2,54.5
1,1,0,2,0,51.4792,2,53.0
1,1,1,0,0,26.3875,2,36.0
1,3,0,0,0,7.75,1,29.69911764705882
0,3,1,0,0,8.05,2,16.0
0,3,1,0,0,14.5,2,19.0
1,2,0,0,0,13.0,2,34.0
1,1,0,1,0,55.9,2,39.0
0,3,0,1,0,14.4583,0,29.69911764705882
1,3,1,0,0,7.925,2,32.0
1,2,0,1,1,30.0,2,25.0
1,1,0,1,1,65.6344,0,39.0
0,2,1,0,0,26.0,2,54.0
0,1,1,0,0,40.125,0,36.0
0,3,1,0,0,8.7125,0,29.69911764705882
1,1,0,0,2,65.6344,2,18.0
0,2,1,0,0,15.0,2,47.0
1,1,1,1,1,65.6344,0,54.5
0,3,1,0,0,8.05,2,22.0
0,3,1,0,0,8.05,2,29.69911764705882
0,3,1,0,0,7.125,2,35.0
1,1,0,1,0,65.6344,0,52.0
0,3,1,0,0,7.25,2,47.0
0,3,0,0,2,7.75,1,29.69911764705882
0,2,1,1,0,26.0,2,37.0
0,3,1,1,1,24.15,2,36.0
1,2,0,0,0,33.0,2,29.69911764705882
0,3,1,0,0,0.0,2,49.0
0,3,1,0,0,7.225,0,29.69911764705882
1,1,1,1,0,56.9292,0,49.0
1,2,0,2,1,27.0,2,24.0
0,3,1,0,0,7.8958,2,29.69911764705882
0,1,1,0,0,42.4,2,29.69911764705882
0,3,1,0,0,8.05,2,44.0
1,1,1,0,0,26.55,0,35.0
0,3,1,1,0,15.55,2,36.0
0,3,1,0,0,7.8958,2,30.0
1,1,1,0,0,30.5,2,27.0
1,2,0,1,2,41.5792,0,22.0
1,1,0,0,0,65.6344,2,40.0
0,3,0,1,5,31.275,2,39.0
0,3,1,0,0,7.05,2,29.69911764705882
1,3,0,1,0,15.5,1,29.69911764705882
0,3,1,0,0,7.75,1,29.69911764705882
0,3,1,0,0,8.05,2,35.0
1,2,0,1,2,65.0,2,24.0
0,3,1,1,1,14.4,2,34.0
0,3,0,1,0,16.1,2,26.0
1,2,0,2,1,39.0,2,4.0
0,2,1,0,0,10.5,2,26.0
0,3,1,1,0,14.4542,0,27.0
1,1,1,1,0,52.5542,2,42.0
1,3,1,1,1,15.7417,0,20.0
0,3,1,0,0,7.8542,2,21.0
0,3,1,0,0,16.1,2,21.0
0,1,1,0,0,32.3208,2,54.5
0,2,1,0,0,12.35,1,54.5
1,1,0,0,0,65.6344,2,21.0
0,3,1,0,0,7.8958,2,26.0
0,3,1,0,0,7.7333,1,29.69911764705882
1,1,1,0,0,30.0,2,54.5
0,3,1,0,0,7.0542,2,51.0
1,1,1,0,0,30.5,0,32.0
0,1,1,0,0,0.0,2,29.69911764705882
0,3,0,3,2,27.9,2,9.0
1,2,0,0,0,13.0,2,28.0
0,3,1,0,0,7.925,2,32.0
0,2,1,1,1,26.25,2,31.0
0,3,0,0,5,39.6875,2,41.0
0,3,1,1,0,16.1,2,29.69911764705882
0,3,1,0,0,7.8542,2,20.0
1,1,0,0,0,65.6344,0,24.0
0,3,0,3,2,27.9,2,2.5
1,3,1,0,0,56.4958,2,29.69911764705882
1,3,0,2,1,19.2583,0,2.5
1,1,1,1,0,65.6344,0,48.0
0,3,1,0,0,7.8958,2,19.0
1,1,1,0,0,35.5,0,54.5
0,3,1,0,0,7.55,2,29.69911764705882
1,3,0,0,0,7.55,2,23.0
0,3,1,0,0,7.8958,2,29.69911764705882
1,2,0,0,1,23.0,2,18.0
0,3,1,0,0,8.4333,2,21.0
1,3,0,0,0,7.8292,1,29.69911764705882
0,3,0,0,0,6.75,1,18.0
