Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Purpose,Credit
28,1,2,1,0,0,12,6,0
56,1,2,1,0,3,12,5,0
54,1,2,1,0,0,12,1,0
33,0,1,1,4,3,12,5,0
20,1,2,2,4,2,24,4,1
54,1,2,1,3,1,12,1,0
58,1,2,2,0,1,54,0,1
61,0,2,1,4,3,12,3,0
34,1,2,1,1,1,18,0,1
36,1,2,1,0,1,36,5,1
36,1,3,2,4,1,20,1,1
41,1,1,2,1,3,24,1,0
24,1,2,2,0,1,36,5,1
24,0,2,1,0,3,6,5,0
35,1,2,2,0,1,9,4,0
26,1,2,2,4,3,12,1,1
39,1,3,1,0,1,24,7,1
39,1,3,1,0,3,18,1,1
32,1,2,1,0,1,12,1,1
30,0,2,1,4,0,24,4,1
35,1,2,1,2,1,14,0,0
31,1,2,1,1,1,6,0,0
23,0,2,2,0,2,15,3,0
28,1,1,2,0,1,18,1,1
25,0,2,1,0,3,36,1,1
35,1,2,1,2,0,12,5,0
47,1,2,1,4,3,48,5,1
30,0,3,1,4,0,42,5,1
27,0,2,2,4,0,10,4,0
23,0,2,1,2,0,33,4,1
36,1,3,1,2,1,12,1,1
25,0,2,1,0,0,21,5,0
41,0,3,2,0,3,24,1,1
24,1,1,2,0,3,12,4,0
63,1,2,0,0,2,10,1,0
27,0,2,2,4,1,18,4,0
30,1,2,1,0,0,12,1,0
40,1,1,1,0,0,12,5,0
30,1,2,1,0,1,12,6,0
34,1,3,1,0,1,12,1,0
29,0,2,1,0,0,12,1,1
24,0,2,1,4,1,48,1,1
29,1,2,1,0,0,36,3,1
27,1,1,1,0,3,15,4,1
47,1,2,0,0,3,18,4,0
21,0,2,1,1,3,60,5,1
38,0,2,1,4,3,12,5,0
27,1,2,1,3,3,27,1,1
66,1,1,1,2,1,12,5,0
35,1,2,1,4,1,15,5,1
44,0,1,2,0,2,12,5,0
27,1,0,1,3,2,6,1,0
30,0,3,1,0,1,36,5,1
27,1,3,1,0,0,27,5,1
22,1,2,1,0,0,18,4,1
23,0,2,1,0,3,21,4,0
30,1,2,1,1,1,48,0,1
39,0,2,1,0,0,6,1,0
51,0,2,1,1,3,12,1,0
28,1,2,1,0,0,36,4,1
46,1,2,1,3,3,18,5,0
42,1,2,0,1,3,6,5,0
38,1,2,1,0,3,10,5,0
24,1,2,1,0,2,36,5,1
29,0,2,2,3,1,24,1,1
36,1,3,2,1,1,24,0,1
20,0,2,2,0,0,12,4,0
48,1,2,1,1,0,9,6,0
45,1,1,1,0,0,12,3,0
38,1,2,1,1,1,24,1,1
34,1,1,1,4,3,6,5,0
36,1,2,1,1,3,24,5,1
30,0,2,1,0,3,18,1,0
36,1,2,1,2,3,15,2,0
70,1,3,0,0,1,10,1,1
36,1,2,1,2,3,36,1,0
32,1,2,1,2,3,6,4,1
33,0,2,1,0,0,18,4,0
20,0,2,1,3,1,11,4,0
25,0,2,2,0,3,24,4,1
31,1,2,1,0,1,24,0,0
33,1,2,2,0,0,15,1,0
26,0,2,1,0,3,12,4,0
34,0,3,1,0,1,24,4,0
33,1,2,1,0,1,8,5,0
26,1,2,1,0,0,21,3,1
53,0,3,1,4,3,30,1,1
42,1,2,1,0,0,12,4,1
52,1,2,1,2,0,6,5,0
31,1,3,2,0,3,12,5,0
65,1,2,1,0,0,21,1,0
28,1,2,1,0,3,36,0,1
30,1,3,1,0,1,36,0,1
40,1,1,1,4,0,21,1,0
50,1,2,1,3,3,24,4,1
36,1,2,1,0,1,18,1,0
31,1,2,1,0,3,15,5,0
74,0,3,0,0,1,9,1,1
68,1,0,0,0,1,16,1,0
20,1,2,1,1,0,12,5,0
33,0,2,1,0,1,18,4,1
54,1,3,1,3,3,24,0,1
34,1,1,0,1,1,48,0,1
36,1,2,1,0,1,27,0,1
29,1,2,2,0,3,6,5,0
21,1,2,2,1,1,45,5,1
34,0,3,1,0,1,9,3,0
28,0,2,1,0,3,6,5,0
27,0,2,2,1,1,12,4,0
36,1,2,0,4,1,24,1,1
40,1,3,1,0,1,18,4,1
52,1,2,1,2,3,9,3,0
27,1,1,1,0,0,12,1,0
26,1,2,1,0,3,27,0,1
21,1,2,2,0,0,12,3,0
38,1,1,1,0,3,12,1,0
38,1,3,0,0,0,30,1,1
43,1,2,1,0,3,12,4,0
26,1,2,1,0,1,12,2,0
21,1,1,1,0,0,24,0,1
55,1,2,1,3,3,12,1,0
33,1,2,1,4,3,9,5,1
45,0,1,1,4,3,36,5,1
50,1,2,1,0,0,27,0,1
66,1,3,1,0,2,30,0,0
51,1,2,1,4,3,36,5,1
39,0,1,1,4,1,6,3,0
31,1,2,1,0,0,18,0,1
23,1,2,1,0,2,36,5,1
24,1,1,2,0,0,24,4,1
64,0,2,1,0,3,10,1,0
26,1,1,1,0,1,12,5,0
23,0,2,2,4,0,12,3,0
30,1,2,1,0,3,12,5,0
32,1,2,1,4,3,24,0,1
30,1,2,1,0,3,15,1,1
27,1,2,1,0,3,36,6,1
27,1,2,1,3,1,48,5,1
53,1,3,0,0,0,12,4,1
22,1,2,1,0,3,9,5,0
22,1,2,0,0,0,24,4,1
26,1,2,1,0,2,36,5,1
51,1,1,0,2,3,9,1,1
35,1,2,1,1,3,12,5,0
25,1,1,1,0,1,18,5,0
42,1,1,1,0,3,4,5,0
30,1,3,1,0,0,24,5,0
23,1,0,1,4,1,6,1,1
61,1,1,2,1,1,21,0,1
35,0,2,1,0,3,12,5,0
39,1,2,1,0,0,30,5,1
29,0,2,1,4,0,24,1,0
51,1,2,1,0,3,6,5,0
24,1,2,0,0,0,48,1,1
27,0,2,1,0,3,12,0,0
35,0,1,1,2,3,12,3,1
25,1,2,1,0,3,24,0,0
52,1,2,1,0,3,12,5,0
35,1,2,2,1,3,6,1,0
26,1,2,1,0,2,24,4,0
22,0,2,2,0,3,18,5,0
39,0,1,1,3,0,6,1,0
46,0,1,1,0,2,12,4,0
24,0,2,1,0,1,30,1,0
35,1,2,1,1,3,24,4,1
24,1,2,1,4,1,9,4,0
27,1,1,1,4,1,60,5,1
35,1,1,1,0,3,24,5,1
29,1,2,0,0,0,12,5,0
23,0,2,1,1,3,15,1,1
57,0,1,1,1,3,11,5,0
27,1,2,1,0,0,12,4,0
55,0,2,1,0,0,24,5,0
36,1,3,0,0,0,18,1,1
57,0,1,0,0,3,12,3,1
32,1,1,1,0,3,10,1,0
37,1,2,1,0,1,15,5,0
36,1,2,1,4,3,36,0,1
38,0,2,1,0,3,24,5,0
45,1,3,1,0,0,14,1,1
25,1,2,1,4,3,24,5,0
32,1,2,1,4,3,18,1,1
37,0,2,2,2,3,12,4,0
36,1,3,0,4,1,48,1,1
28,1,2,1,0,1,48,5,1
34,1,1,1,0,0,30,6,1
32,1,2,1,0,3,9,5,1
26,0,2,1,0,3,18,5,1
49,1,1,1,4,0,12,4,0
32,0,2,1,0,3,6,4,1
29,1,3,2,1,3,24,5,0
23,1,2,2,3,3,15,1,1
50,1,2,1,0,3,12,4,0
49,1,1,1,4,2,18,5,0
63,1,2,1,4,3,15,4,0
37,1,2,1,1,1,24,1,1
35,0,1,1,0,0,47,1,1
26,1,2,1,0,0,48,1,1
31,1,3,0,1,1,48,7,1
49,0,2,1,0,1,12,5,0
48,1,2,1,0,0,24,5,0
26,1,2,1,0,3,12,0,0
28,1,3,2,0,1,36,1,1
44,0,3,0,0,0,24,1,1
56,1,2,0,0,2,42,1,1
46,1,3,1,4,3,48,0,1
26,0,2,1,0,1,48,4,1
20,0,2,2,4,3,12,1,1
45,1,1,1,4,3,10,1,0
43,1,2,1,0,3,18,4,1
32,1,2,1,3,1,21,4,1
54,0,0,1,0,3,6,1,0
42,0,2,1,0,1,36,5,1
37,1,1,1,4,2,24,1,0
49,1,2,1,0,0,10,1,0
44,1,2,0,2,3,48,1,1
33,1,2,1,3,3,6,4,0
24,0,1,2,4,3,30,1,1
33,1,1,1,1,0,12,5,0
24,0,2,1,0,1,8,4,0
22,1,1,2,0,1,9,1,0
40,1,0,0,4,1,48,7,1
25,1,2,1,1,3,24,4,1
26,0,2,1,0,2,24,4,1
25,1,1,1,0,1,12,1,0
29,1,1,1,4,2,4,1,0
31,1,2,1,0,0,36,4,1
38,1,1,1,0,0,12,4,0
48,0,1,1,4,1,24,4,1
32,1,2,1,0,3,12,3,0
27,0,1,1,0,0,15,4,1
28,1,3,1,0,1,30,1,1
32,1,2,1,0,0,24,5,0
34,1,3,0,0,0,24,1,1
28,1,2,1,3,0,18,4,1
36,0,2,1,0,3,18,1,0
39,1,1,1,0,0,8,1,1
49,1,2,2,4,3,12,4,1
34,0,2,1,3,3,24,1,0
31,1,2,1,0,2,36,5,1
28,1,2,1,0,1,6,5,0
75,1,3,0,0,0,24,1,1
30,0,2,1,1,3,18,3,0
24,0,3,1,1,1,60,1,1
24,0,1,2,1,3,48,1,1
23,1,2,2,0,0,24,4,1
44,1,3,2,0,0,6,4,1
23,0,1,1,0,1,13,5,0
24,0,2,2,4,0,15,2,0
28,1,2,1,0,0,24,4,1
31,1,1,1,0,1,10,4,0
24,0,2,0,0,1,24,3,1
26,0,1,2,0,0,21,4,1
25,1,2,2,2,1,18,5,1
33,1,3,1,0,1,18,0,1
37,1,1,1,0,2,10,1,1
43,0,1,1,0,3,15,5,0
23,1,2,1,0,1,13,5,0
23,0,0,2,2,1,24,5,1
34,1,1,1,1,3,6,0,0
32,1,2,0,3,1,9,3,0
23,0,2,2,0,3,9,2,0
29,0,2,1,0,1,9,4,0
38,1,3,1,4,3,18,1,1
28,1,2,2,0,0,12,5,1
46,1,2,0,2,3,10,3,0
23,1,1,1,0,1,24,1,0
49,1,2,1,4,3,12,5,1
26,1,3,1,0,3,36,5,1
28,1,2,1,0,3,12,5,0
23,0,2,2,0,0,30,4,1
61,1,2,0,4,1,18,3,0
37,1,3,1,4,2,12,5,1
36,0,2,1,0,2,12,1,0
21,1,2,2,0,3,6,4,0
25,1,0,1,0,0,18,4,1
36,1,2,1,0,3,12,0,0
27,1,2,1,0,3,18,1,1
22,0,2,2,0,0,18,4,1
42,1,2,1,0,0,36,4,1
40,0,2,2,0,1,18,4,1
36,1,2,1,4,3,36,1,1
33,1,2,1,0,3,18,5,1
23,0,2,2,0,3,10,4,0
63,1,3,0,4,3,60,1,1
60,0,3,0,1,1,60,7,1
37,0,2,2,0,0,48,0,1
34,1,2,1,0,3,18,5,1
36,1,2,0,4,3,7,5,0
57,1,3,0,0,1,36,1,1
52,0,1,1,1,3,6,1,0
39,1,2,1,4,0,20,4,0
38,0,3,0,0,1,18,1,1
25,0,2,2,4,3,22,1,0
26,1,2,1,0,2,12,1,0
26,1,1,1,1,3,30,0,1
25,0,2,1,0,3,18,5,0
21,0,2,2,4,3,18,5,0
40,1,3,1,0,1,18,4,1
27,1,2,1,2,1,15,0,1
27,0,2,1,0,3,9,0,0
30,1,3,1,0,3,18,1,0
19,0,1,2,3,1,12,4,0
39,1,3,0,0,0,36,1,1
31,0,2,1,0,0,6,5,0
31,1,3,1,0,3,9,4,1
32,1,2,2,1,1,39,3,1
55,0,3,0,0,0,12,4,1
46,1,2,1,0,0,36,4,1
46,1,2,2,0,1,12,1,0
43,0,1,1,3,3,24,5,0
39,1,2,1,0,3,18,5,0
28,1,2,1,4,1,18,0,0
27,1,2,1,0,3,24,0,1
27,1,1,1,0,3,14,1,0
43,1,2,1,4,1,18,1,1
22,1,2,1,0,1,24,5,0
43,1,2,1,4,3,24,1,0
27,1,2,1,0,0,15,5,0
26,1,3,1,2,3,24,5,1
28,1,2,1,2,2,12,1,0
20,0,2,1,0,1,24,5,0
35,1,3,1,0,3,33,1,1
42,1,3,1,0,3,12,0,0
40,1,1,2,2,3,10,1,0
35,0,2,1,4,0,24,1,0
35,1,2,1,0,3,36,1,1
33,1,1,1,0,0,12,1,1
23,0,2,2,4,0,18,3,1
31,0,3,1,2,3,21,1,1
33,0,2,1,4,1,18,1,0
20,0,2,2,3,3,15,1,1
30,1,2,1,4,1,12,1,0
47,1,1,1,0,1,12,1,0
34,1,3,1,1,3,21,4,0
25,0,2,1,4,1,12,4,1
21,1,2,2,0,1,18,1,1
29,1,2,1,0,3,28,5,1
46,1,2,1,3,3,18,5,0
20,1,2,1,0,3,9,4,0
55,0,0,0,0,0,18,6,0
74,1,1,1,0,3,5,0,1
29,1,3,1,0,1,24,7,1
36,1,3,0,0,0,6,4,0
33,1,2,1,0,3,24,6,0
25,1,2,1,0,0,9,4,0
25,1,2,1,4,1,12,5,0
23,1,1,2,2,3,6,6,0
37,0,2,1,3,3,24,1,0
65,1,0,1,0,0,42,6,1
26,0,0,1,0,2,12,0,0
39,1,3,1,0,3,12,1,0
30,0,2,1,0,0,12,4,0
29,1,2,1,0,1,20,7,1
41,1,1,1,0,3,12,3,0
30,0,3,1,0,1,48,4,1
41,0,1,2,4,3,9,3,0
34,0,2,1,0,0,36,1,0
35,1,2,1,0,1,7,5,1
55,0,3,1,4,2,12,4,0
61,1,2,1,3,1,15,6,0
30,1,3,1,4,3,36,1,1
29,0,2,1,0,3,6,5,0
34,1,2,1,0,3,12,4,1
35,1,3,1,0,3,24,1,1
31,1,2,1,0,0,24,1,1
29,0,3,1,0,3,24,1,1
36,1,2,2,0,0,11,1,1
35,1,2,0,0,0,12,1,1
27,0,2,1,0,0,6,2,0
32,1,2,1,0,3,18,5,1
37,1,2,1,0,0,36,4,1
36,1,2,1,0,0,15,1,0
34,0,3,2,0,1,12,4,1
38,1,2,1,4,1,12,3,0
34,1,2,1,0,3,18,0,0
63,1,2,1,0,0,24,1,1
29,0,1,2,0,0,24,5,0
32,1,2,1,4,3,48,5,1
26,0,2,1,0,3,33,0,1
35,1,1,1,0,3,24,1,1
22,1,2,2,1,1,24,5,1
23,0,2,1,0,0,6,3,0
28,1,1,1,0,0,9,1,0
36,1,3,1,4,3,6,3,0
33,1,2,1,0,1,18,5,0
26,0,2,2,0,0,18,4,1
24,1,2,1,2,3,39,1,1
25,1,2,1,0,2,24,5,1
39,1,1,1,1,1,12,0,0
44,1,2,1,0,0,15,4,0
23,0,1,1,0,1,12,5,1
26,1,2,1,0,1,24,1,0
57,0,2,2,3,0,30,4,1
30,0,2,1,3,3,15,4,0
44,1,2,1,2,3,12,1,0
47,1,3,1,0,1,6,1,0
52,1,2,1,0,3,12,5,1
62,0,2,0,0,3,24,1,1
35,1,1,2,1,3,10,1,0
26,1,2,2,0,3,6,1,1
26,1,2,1,0,3,12,5,0
42,0,3,0,0,1,27,0,1
27,0,2,1,1,3,6,5,0
38,1,2,1,4,1,6,5,0
39,1,1,2,0,0,12,1,0
20,1,2,1,4,0,24,4,1
29,1,3,2,1,1,36,4,1
40,1,2,1,0,3,24,4,0
32,1,1,1,0,1,18,5,0
28,1,2,1,1,2,6,1,0
27,0,2,1,0,0,24,1,1
42,1,2,0,0,0,36,1,1
49,1,2,1,1,2,9,5,0
38,1,2,1,1,1,24,5,0
24,0,2,2,0,0,24,1,0
27,1,1,1,4,3,10,1,0
36,1,2,1,2,2,15,1,1
34,1,3,1,1,1,15,1,1
28,1,2,1,0,3,24,5,0
45,1,3,1,1,3,39,1,1
26,1,2,1,0,0,12,1,0
32,1,3,0,0,3,36,1,1
26,1,2,2,0,2,15,0,1
20,1,2,2,0,1,12,5,0
54,1,2,1,4,3,24,1,0
37,0,2,1,0,0,6,1,0
40,1,1,1,0,0,6,1,0
23,0,2,2,0,3,36,4,1
43,1,2,1,1,0,6,1,0
36,1,2,0,4,3,6,5,0
44,1,2,0,0,3,24,6,1
24,0,2,1,0,0,18,5,1
53,1,2,0,0,0,48,4,1
23,0,2,1,1,3,24,1,1
26,0,1,1,0,1,18,5,0
30,1,2,1,0,1,26,1,1
31,0,2,1,1,3,15,3,0
42,1,1,1,0,3,4,5,0
31,1,2,2,0,0,36,5,0
41,1,1,1,0,0,6,1,0
32,1,2,1,0,1,36,3,0
28,0,2,2,1,1,15,1,1
41,1,2,2,0,3,12,1,0
26,1,2,1,1,3,24,5,0
25,1,2,1,4,3,24,5,1
33,1,2,2,0,2,21,3,0
75,0,3,1,4,0,6,1,0
37,0,2,1,0,1,18,4,1
42,1,3,0,0,0,48,1,1
45,0,1,1,0,2,18,4,1
23,1,2,2,0,1,12,5,0
60,1,2,0,0,3,24,1,0
31,1,2,1,4,0,30,4,1
34,1,1,1,0,2,18,4,1
61,1,1,1,0,3,12,1,0
43,1,2,0,0,0,24,1,0
37,0,2,1,0,3,24,1,0
32,1,2,1,0,3,24,5,0
24,0,1,1,0,0,12,5,0
35,1,2,0,4,3,48,1,1
23,0,2,1,4,3,12,6,0
45,1,1,1,2,3,6,5,0
34,1,2,1,0,0,48,5,1
27,1,2,1,1,1,12,1,0
67,0,3,1,0,1,9,3,0
22,1,2,1,0,1,12,5,0
28,0,2,1,1,1,18,1,0
29,0,2,1,4,3,21,1,1
27,1,2,1,0,0,24,4,1
31,1,1,1,0,1,18,4,0
49,1,2,0,4,0,24,1,1
24,1,1,2,0,0,24,5,0
29,0,2,1,0,2,6,5,0
37,1,2,0,4,1,36,1,1
37,1,3,1,4,1,24,0,1
23,0,2,2,1,1,24,5,0
36,1,2,1,0,0,12,1,0
34,1,2,1,3,3,24,5,1
41,1,2,1,4,1,48,5,1
31,0,2,1,0,0,48,5,1
23,0,1,2,0,0,24,4,1
38,1,2,1,0,3,30,5,1
26,0,3,2,4,3,24,1,1
22,0,1,1,0,0,15,0,0
27,1,1,1,0,1,9,5,0
24,0,2,1,0,3,15,4,1
27,0,2,1,0,1,12,5,1
33,0,2,1,4,3,24,3,0
27,1,2,1,0,1,36,1,1
27,1,1,1,0,3,24,3,0
30,1,2,1,0,1,18,1,0
49,1,1,1,0,1,12,1,1
26,0,2,2,0,3,9,4,0
33,1,1,2,0,1,36,6,1
52,0,3,0,4,3,12,1,0
20,0,2,2,0,0,18,4,0
36,1,2,2,0,0,9,1,1
21,1,1,1,0,0,12,4,0
47,1,1,1,0,0,18,2,0
60,1,2,1,0,0,12,4,0
58,0,1,1,0,0,12,5,0
42,0,2,2,4,1,24,1,0
36,0,1,1,3,3,21,0,0
20,0,1,2,0,1,24,1,1
40,1,3,1,4,0,24,7,0
32,0,1,1,1,1,6,1,0
23,0,2,2,0,0,24,1,0
36,1,1,1,0,1,24,0,1
31,1,2,1,0,3,18,1,1
32,1,2,0,0,3,24,0,1
45,0,2,1,0,1,7,5,1
30,0,2,1,0,1,9,4,0
34,0,1,0,0,1,24,3,0
28,0,3,1,0,3,36,4,1
23,0,2,1,0,2,10,4,0
22,1,2,1,2,0,24,4,1
74,1,3,1,0,3,24,0,1
50,0,2,0,1,1,36,5,1
33,1,2,1,0,3,18,5,0
45,1,2,0,4,3,15,1,0
22,0,2,1,1,0,12,2,0
48,0,1,0,1,2,10,1,0
29,0,2,1,3,0,21,5,1
22,0,2,2,0,0,24,1,1
22,0,2,1,0,3,18,4,0
48,1,3,1,4,1,48,0,1
27,1,3,0,4,1,60,5,1
37,1,2,2,0,0,6,1,1
21,0,2,2,1,1,30,4,1
49,1,1,1,0,3,12,1,0
27,1,2,1,0,1,21,0,1
32,1,2,1,0,3,18,1,0
38,1,2,1,4,3,48,0,1
22,0,2,2,0,0,12,4,0
65,1,2,0,0,0,18,5,1
35,1,2,1,4,3,15,5,0
41,1,2,1,0,2,6,4,0
29,1,2,1,1,1,9,1,0
36,1,2,1,2,3,42,4,1
64,1,1,1,4,3,9,3,1
28,0,2,1,0,0,24,5,1
44,1,2,1,0,0,18,4,0
23,1,2,1,4,1,15,5,0
19,0,2,2,0,3,9,4,0
25,0,1,1,0,1,24,1,0
47,1,2,1,0,3,12,3,0
28,0,2,1,2,3,24,5,0
21,1,2,1,0,3,60,5,1
34,0,2,1,0,3,12,5,0
26,1,2,1,0,0,42,5,1
27,0,0,1,0,0,18,3,0
38,1,1,1,0,1,15,6,0
40,1,3,1,1,3,15,3,1
33,1,2,1,0,3,24,5,0
32,1,3,1,0,0,18,5,0
27,1,2,2,4,3,36,0,1
32,1,2,1,0,0,30,4,1
26,0,2,1,2,3,12,1,0
38,1,2,0,0,2,24,1,0
40,1,1,2,0,0,12,3,0
50,1,3,0,0,0,48,3,1
37,1,1,1,0,1,12,4,0
45,1,2,1,0,0,24,1,0
42,1,3,1,1,1,36,1,1
35,1,2,1,0,3,24,1,1
22,1,2,0,0,0,14,1,1
41,1,1,1,0,1,12,1,0
37,1,2,1,4,3,48,5,1
28,0,2,1,0,1,30,0,1
41,1,2,1,0,1,18,4,1
23,1,2,2,0,2,12,5,0
23,1,2,1,4,0,12,1,0
50,1,2,1,0,3,21,4,0
35,1,3,1,0,1,6,4,0
50,0,1,1,0,2,6,3,0
27,1,3,1,0,3,24,7,1
34,1,2,1,3,1,30,4,1
27,0,2,1,0,3,48,0,1
43,1,2,2,0,0,12,1,1
47,1,2,1,0,2,30,5,1
27,1,1,1,1,3,24,0,1
31,1,2,1,1,3,36,0,1
42,1,3,1,0,3,60,1,1
24,1,2,1,2,3,6,1,0
41,1,1,1,2,3,21,0,1
26,0,3,2,0,3,30,5,1
33,1,2,1,0,3,24,4,1
24,1,2,1,1,1,72,5,1
64,1,1,2,0,0,24,5,1
26,0,2,1,0,3,18,5,0
56,0,2,1,0,3,6,3,0
37,1,2,0,4,3,12,5,0
33,1,2,1,0,3,15,5,0
47,1,2,0,0,3,24,5,1
31,1,1,1,1,1,36,0,1
34,1,2,0,4,3,60,1,1
27,1,2,1,4,2,10,5,0
30,1,2,0,1,1,36,1,1
35,1,2,1,1,3,9,5,1
31,1,2,1,3,0,12,1,1
25,1,2,1,0,0,15,4,0
25,0,1,1,1,1,15,6,1
29,1,2,1,1,1,24,5,1
44,1,1,1,4,0,6,1,1
28,1,2,1,0,3,24,5,0
50,1,2,2,2,3,6,1,0
29,1,2,1,0,1,12,5,0
38,0,0,1,0,3,12,1,0
24,1,2,1,0,3,18,5,0
40,1,3,2,0,2,15,3,0
29,0,1,2,2,3,12,4,0
46,1,2,0,0,0,48,1,1
47,0,2,0,1,2,24,5,0
41,1,2,1,1,1,30,0,1
32,0,2,1,0,1,27,0,1
35,0,2,0,2,3,15,1,1
24,1,2,1,1,1,48,1,1
25,0,2,2,0,1,12,4,1
25,0,2,1,0,1,9,5,0
37,1,1,1,0,1,9,5,0
32,1,3,1,2,3,18,5,0
35,0,2,0,0,0,6,3,0
46,1,3,1,4,3,21,1,1
25,1,1,1,0,0,9,5,0
27,1,3,1,0,1,60,1,1
63,1,2,1,4,3,30,1,1
40,1,2,1,4,3,30,5,1
32,1,3,0,0,3,18,5,0
31,1,2,1,4,2,24,5,1
31,1,2,1,1,1,20,1,1
34,1,3,1,0,2,9,5,0
24,0,2,2,3,1,6,3,0
24,0,1,1,0,0,12,1,0
66,0,1,1,2,1,9,5,0
21,0,2,2,0,3,27,1,1
41,0,1,1,3,3,6,1,0
47,1,1,1,2,3,15,5,0
25,0,2,2,0,0,18,5,0
59,0,2,2,0,1,48,0,1
36,1,2,1,3,2,24,0,0
33,1,2,1,0,1,24,5,1
21,1,1,2,0,0,24,5,0
44,0,1,1,0,1,8,5,0
28,0,2,2,3,3,24,1,1
37,0,2,1,0,3,4,1,1
29,0,0,1,4,1,36,2,1
23,0,3,2,0,1,24,1,1
35,1,1,1,1,0,18,1,1
45,1,3,1,0,3,6,1,1
26,0,1,2,1,1,30,0,1
32,1,2,1,1,0,24,1,1
23,1,1,1,0,1,10,5,0
41,1,2,1,4,3,21,5,1
22,1,2,1,2,0,24,4,1
30,1,3,1,4,0,39,4,1
28,1,1,1,0,0,13,0,0
23,0,2,2,0,0,15,1,1
37,0,1,1,0,0,12,1,0
26,1,2,1,4,3,21,1,1
33,1,2,1,0,3,15,1,1
49,0,2,1,0,0,6,4,0
23,0,1,1,0,0,18,1,0
23,0,1,2,1,1,12,0,0
25,0,2,1,0,3,30,5,1
55,1,2,0,3,3,12,6,0
32,0,2,2,4,0,24,1,0
74,1,0,1,0,2,6,1,0
39,1,2,0,4,2,15,5,0
31,1,2,1,0,3,24,1,0
35,1,2,1,0,0,12,1,0
59,0,2,1,4,3,15,1,1
24,0,2,2,0,0,18,4,0
24,1,1,1,0,0,12,5,0
30,1,3,0,4,3,21,1,1
27,1,2,1,1,3,24,1,1
40,1,1,1,0,1,12,5,0
31,1,1,1,0,0,30,4,1
31,0,2,2,4,3,10,1,1
28,1,2,2,0,1,12,4,1
63,1,1,1,0,3,12,5,0
26,0,2,2,4,0,24,1,1
25,0,3,1,0,0,36,3,1
36,1,3,1,0,3,21,1,1
